date,daily_fox_epstein_hits,daily_fox_epstein_density,daily_cnn_epstein_hits,daily_cnn_epstein_density,daily_msnbc_epstein_hits,daily_msnbc_epstein_density,daily_all3_epstein_hits,daily_all3_epstein_mean
2024-10-01,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-02,3,0.037356,0,0.0,0,0.0,3,0.012452
2024-10-03,3,0.036875,0,0.0,0,0.0,3,0.012291666666666666
2024-10-04,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-05,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-06,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-07,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-08,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-09,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-10,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-11,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-12,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-13,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-14,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-15,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-16,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-17,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-18,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-19,0,0.0,0,0.0,1,0.01409,1,0.004696666666666667
2024-10-20,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-21,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-22,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-23,2,0.02731,0,0.0,1,0.016077,3,0.014462333333333334
2024-10-24,0,0.0,0,0.012938,0,0.0,0,0.004312666666666667
2024-10-25,0,0.0,0,0.138112,2,0.028241,2,0.055451
2024-10-26,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-27,1,0.012251,0,0.0,0,0.0,1,0.004083666666666667
2024-10-28,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-29,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-30,0,0.0,0,0.0,0,0.0,0,0.0
2024-10-31,0,0.0,0,0.0,0,0.0,0,0.0
