date,hits,words,shows,shows_with_hits,density_per_1000
2024-10-01,0,81164,20,0,0.000000
2024-10-02,0,71838,16,0,0.000000
2024-10-03,0,82126,20,0,0.000000
2024-10-04,0,70891,20,0,0.000000
2024-10-05,0,66167,22,0,0.000000
2024-10-06,0,75409,21,0,0.000000
2024-10-07,0,79597,20,0,0.000000
2024-10-08,0,70253,20,0,0.000000
2024-10-09,0,69581,20,0,0.000000
2024-10-10,0,49851,12,0,0.000000
2024-10-11,0,0,0,0,0.000000
2024-10-12,0,40244,19,0,0.000000
2024-10-13,0,77301,21,0,0.000000
2024-10-14,0,75545,20,0,0.000000
2024-10-15,0,62244,20,0,0.000000
2024-10-16,0,75240,20,0,0.000000
2024-10-17,0,76850,20,0,0.000000
2024-10-18,0,79326,48,0,0.000000
2024-10-19,0,70973,48,0,0.000000
2024-10-20,0,68515,48,0,0.000000
2024-10-21,0,76004,19,0,0.000000
2024-10-22,0,69988,20,0,0.000000
2024-10-23,0,62202,20,0,0.000000
2024-10-24,0,67068,20,0,0.000000
2024-10-25,0,70818,20,0,0.000000
2024-10-26,0,73197,22,0,0.000000
2024-10-27,0,76329,21,0,0.000000
2024-10-28,0,78217,20,0,0.000000
2024-10-29,0,64439,20,0,0.000000
2024-10-30,0,72403,20,0,0.000000
2024-10-31,0,70768,20,0,0.000000
2024-11-01,0,68768,16,0,0.000000
2024-11-02,0,71934,22,0,0.000000
2024-11-03,0,66940,22,0,0.000000
2024-11-04,0,74111,13,0,0.000000
2024-11-05,0,86466,16,0,0.000000
2024-11-06,0,72162,7,0,0.000000
2024-11-07,0,75466,17,0,0.000000
2024-11-08,0,78638,20,0,0.000000
2024-11-09,0,75163,23,0,0.000000
2024-11-10,0,74817,23,0,0.000000
2024-11-11,0,86700,20,0,0.000000
2024-11-12,0,74598,20,0,0.000000
2024-11-13,0,78309,20,0,0.000000
2024-11-14,0,68100,20,0,0.000000
2024-11-15,0,69984,20,0,0.000000
2024-11-16,0,78692,22,0,0.000000
2024-11-17,0,71922,22,0,0.000000
2024-11-18,0,75392,20,0,0.000000
2024-11-19,0,78315,20,0,0.000000
2024-11-20,0,79027,20,0,0.000000
2024-11-21,0,79806,20,0,0.000000
2024-11-22,0,80436,20,0,0.000000
2024-11-23,0,74658,23,0,0.000000
2024-11-24,0,73824,23,0,0.000000
2024-11-25,0,79145,20,0,0.000000
2024-11-26,0,84395,20,0,0.000000
2024-11-27,0,75549,17,0,0.000000
2024-11-28,0,82122,17,0,0.000000
2024-11-29,0,83423,15,0,0.000000
2024-11-30,0,75064,23,0,0.000000
2024-12-01,0,74642,23,0,0.000000
2024-12-02,0,78253,20,0,0.000000
2024-12-03,0,78182,20,0,0.000000
2024-12-04,0,73702,20,0,0.000000
2024-12-05,0,73040,19,0,0.000000
2024-12-06,0,69519,20,0,0.000000
2024-12-07,0,72359,22,0,0.000000
2024-12-08,0,86688,21,0,0.000000
2024-12-09,0,82894,20,0,0.000000
2024-12-10,0,70993,20,0,0.000000
2024-12-11,0,78436,20,0,0.000000
2024-12-12,0,74897,19,0,0.000000
2024-12-13,0,76408,20,0,0.000000
2024-12-14,0,76414,22,0,0.000000
2024-12-15,0,79906,22,0,0.000000
2024-12-16,0,72476,20,0,0.000000
2024-12-17,0,74378,20,0,0.000000
2024-12-18,0,75845,20,0,0.000000
2024-12-19,0,83463,20,0,0.000000
2024-12-20,0,86133,20,0,0.000000
2024-12-21,0,76057,22,0,0.000000
2024-12-22,0,79777,22,0,0.000000
2024-12-23,0,82358,17,0,0.000000
2024-12-24,0,79417,19,0,0.000000
2024-12-25,0,68712,18,0,0.000000
2024-12-26,0,88379,19,0,0.000000
2024-12-27,0,83074,15,0,0.000000
2024-12-28,0,75087,19,0,0.000000
2024-12-29,0,80684,20,0,0.000000
2024-12-30,0,78243,15,0,0.000000
2024-12-31,0,66463,14,0,0.000000
2025-01-01,0,83282,15,0,0.000000
2025-01-02,0,78795,17,0,0.000000
2025-01-03,0,88578,17,0,0.000000
2025-01-04,0,76019,22,0,0.000000
2025-01-05,0,76395,22,0,0.000000
2025-01-06,0,81090,20,0,0.000000
2025-01-07,0,80803,20,0,0.000000
2025-01-08,0,90132,20,0,0.000000
2025-01-09,0,87705,20,0,0.000000
2025-01-10,0,92236,20,0,0.000000
2025-01-11,0,92312,22,0,0.000000
2025-01-12,0,82412,22,0,0.000000
