date,identifier,title,channel,hits,words,density_per_1000
2024-10-01,FOXNEWSW_20241001_080000_The_Ingraham_Angle,"The Ingraham Angle : FOXNEWSW : October 1, 2024 1:00am-2:00am PDT",FOXNEWSW,0,3373,0.0
2024-10-01,FOXNEWSW_20241001_160000_Outnumbered,"Outnumbered : FOXNEWSW : October 1, 2024 9:00am-10:00am PDT",FOXNEWSW,0,3924,0.0
2024-10-01,FOXNEWSW_20241001_190000_The_Story_With_Martha_MacCallum,"The Story With Martha MacCallum : FOXNEWSW : October 1, 2024 12:00pm-1:01pm PDT",FOXNEWSW,0,4094,0.0
2024-10-01,FOXNEWSW_20241001_030000_Fox_News_at_Night,"Fox News at Night : FOXNEWSW : September 30, 2024 8:00pm-9:00pm PDT",FOXNEWSW,0,2678,0.0
2024-10-01,FOXNEWSW_20241001_180000_America_Reports,"America Reports : FOXNEWSW : October 1, 2024 11:00am-12:00pm PDT",FOXNEWSW,0,5798,0.0
2024-10-01,FOXNEWSW_20241001_020000_Gutfeld,"Gutfeld! : FOXNEWSW : September 30, 2024 7:00pm-8:00pm PDT",FOXNEWSW,0,3392,0.0
2024-10-01,FOXNEWSW_20241001_120000_FOX_and_Friends,"FOX and Friends : FOXNEWSW : October 1, 2024 5:00am-6:01am PDT",FOXNEWSW,0,3092,0.0
2024-10-01,FOXNEWSW_20241001_130000_Americas_Newsroom,"America's Newsroom : FOXNEWSW : October 1, 2024 6:00am-7:01am PDT",FOXNEWSW,0,4493,0.0
2024-10-01,FOXNEWSW_20241001_070000_Gutfeld,"Gutfeld! : FOXNEWSW : October 1, 2024 12:00am-1:00am PDT",FOXNEWSW,0,4083,0.0
2024-10-01,FOXNEWSW_20241001_090000_FOX__Friends_First,"FOX & Friends First : FOXNEWSW : October 1, 2024 2:00am-3:00am PDT",FOXNEWSW,0,2593,0.0
2024-10-01,FOXNEWSW_20241001_220000_Special_Report_With_Bret_Baier,"Special Report With Bret Baier : FOXNEWSW : October 1, 2024 3:00pm-4:00pm PDT",FOXNEWSW,0,3888,0.0
2024-10-01,FOXNEWSW_20241001_150000_The_Faulkner_Focus,"The Faulkner Focus : FOXNEWSW : October 1, 2024 8:00am-9:00am PDT",FOXNEWSW,0,3010,0.0
2024-10-01,FOXNEWSW_20241001_170000_America_Reports,"America Reports : FOXNEWSW : October 1, 2024 10:00am-11:00am PDT",FOXNEWSW,0,4467,0.0
2024-10-01,FOXNEWSW_20241001_140000_Americas_Newsroom,"America's Newsroom : FOXNEWSW : October 1, 2024 7:00am-8:00am PDT",FOXNEWSW,0,3355,0.0
2024-10-01,FOXNEWSW_20241001_060000_Hannity,"Hannity : FOXNEWSW : September 30, 2024 11:00pm-12:00am PDT",FOXNEWSW,0,4937,0.0
2024-10-01,FOXNEWSW_20241001_200000_Your_World_With_Neil_Cavuto,"Your World With Neil Cavuto : FOXNEWSW : October 1, 2024 1:00pm-2:00pm PDT",FOXNEWSW,0,4313,0.0
2024-10-01,FOXNEWSW_20241001_050000_Jesse_Watters_Primetime,"Jesse Watters Primetime : FOXNEWSW : September 30, 2024 10:00pm-11:01pm PDT",FOXNEWSW,0,5190,0.0
2024-10-01,FOXNEWSW_20241001_110000_FOX_and_Friends,"FOX and Friends : FOXNEWSW : October 1, 2024 4:00am-5:00am PDT",FOXNEWSW,0,3850,0.0
2024-10-01,FOXNEWSW_20241001_010000_Hannity,"Hannity : FOXNEWSW : September 30, 2024 6:00pm-7:00pm PDT",FOXNEWSW,0,3267,0.0
2024-10-01,FOXNEWSW_20241001_210000_The_Five,"The Five : FOXNEWSW : October 1, 2024 2:00pm-3:00pm PDT",FOXNEWSW,0,2783,0.0
2024-10-01,FOXNEWSW_20241001_040000_The_Five,"The Five : FOXNEWSW : September 30, 2024 9:00pm-10:00pm PDT",FOXNEWSW,0,2435,0.0
2024-10-01,FOXNEWSW_20241001_230000_The_Ingraham_Angle,"The Ingraham Angle : FOXNEWSW : October 1, 2024 4:00pm-5:00pm PDT",FOXNEWSW,0,1938,0.0
2024-10-01,FOXNEWSW_20241001_100000_FOX_and_Friends,"FOX and Friends : FOXNEWSW : October 1, 2024 3:00am-4:00am PDT",FOXNEWSW,0,3144,0.0
2024-10-01,FOXNEWSW_20241001_000000_Jesse_Watters_Primetime,"Jesse Watters Primetime : FOXNEWSW : September 30, 2024 5:00pm-6:00pm PDT",FOXNEWSW,0,3339,0.0
2024-10-02,FOXNEWSW_20241002_150000_The_Faulkner_Focus,"The Faulkner Focus : FOXNEWSW : October 2, 2024 8:00am-9:00am PDT",FOXNEWSW,0,3257,0.0
2024-10-02,FOXNEWSW_20241002_090000_FOX_and_Friends,"FOX and Friends : FOXNEWSW : October 2, 2024 2:00am-3:00am PDT",FOXNEWSW,0,2824,0.0
2024-10-02,FOXNEWSW_20241002_140000_Americas_Newsroom,"America's Newsroom : FOXNEWSW : October 2, 2024 7:00am-8:00am PDT",FOXNEWSW,0,4160,0.0
