date,identifier,title,channel,hits,words,density_per_1000
2024-10-01,MSNBCW_20241001_020000_The_Last_Word_With_Lawrence_ODonnell,"The Last Word With Lawrence O'Donnell : MSNBCW : September 30, 2024 7:00pm-8:00pm PDT",MSNBCW,0,3035,0.0
2024-10-01,MSNBCW_20241001_010000_The_Rachel_Maddow_Show,"The Rachel Maddow Show : MSNBCW : September 30, 2024 6:00pm-7:00pm PDT",MSNBCW,0,3440,0.0
2024-10-01,MSNBCW_20241001_100000_Morning_Joe,"Morning Joe : MSNBCW : October 1, 2024 3:00am-7:00am PDT",MSNBCW,0,12396,0.0
2024-10-01,MSNBCW_20241001_150000_Jose_Diaz-Balart_Reports,"José Díaz-Balart Reports : MSNBCW : October 1, 2024 8:00am-9:00am PDT",MSNBCW,0,2901,0.0
2024-10-01,MSNBCW_20241001_170000_Chris_Jansing_Reports,"Chris Jansing Reports : MSNBCW : October 1, 2024 10:00am-11:00am PDT",MSNBCW,0,5665,0.0
2024-10-01,MSNBCW_20241001_090000_Way_Too_Early_With_Jonathan_Lemire,"Way Too Early With Jonathan Lemire : MSNBCW : October 1, 2024 2:00am-3:00am PDT",MSNBCW,0,3888,0.0
2024-10-01,MSNBCW_20241001_180000_Chris_Jansing_Reports,"Chris Jansing Reports : MSNBCW : October 1, 2024 11:00am-12:00pm PDT",MSNBCW,0,3957,0.0
2024-10-01,MSNBCW_20241001_000000_Inside_With_Jen_Psaki,"Inside With Jen Psaki : MSNBCW : September 30, 2024 5:00pm-6:00pm PDT",MSNBCW,0,2373,0.0
2024-10-01,MSNBCW_20241001_190000_Katy_Tur_Reports,"Katy Tur Reports : MSNBCW : October 1, 2024 12:00pm-1:00pm PDT",MSNBCW,0,4027,0.0
2024-10-01,MSNBCW_20241001_200000_Deadline_White_House,"Deadline: White House : MSNBCW : October 1, 2024 1:00pm-3:00pm PDT",MSNBCW,0,7022,0.0
2024-10-01,MSNBCW_20241001_160000_Andrea_Mitchell_Reports,"Andrea Mitchell Reports : MSNBCW : October 1, 2024 9:00am-10:00am PDT",MSNBCW,0,3946,0.0
2024-10-01,MSNBCW_20241001_080000_The_Rachel_Maddow_Show,"The Rachel Maddow Show : MSNBCW : October 1, 2024 1:00am-2:00am PDT",MSNBCW,0,3107,0.0
2024-10-01,MSNBCW_20241001_050000_The_Last_Word_With_Lawrence_ODonnell,"The Last Word With Lawrence O'Donnell : MSNBCW : September 30, 2024 10:00pm-11:00pm PDT",MSNBCW,0,3116,0.0
2024-10-01,MSNBCW_20241001_140000_Ana_Cabrera_Reports,"Ana Cabrera Reports : MSNBCW : October 1, 2024 7:00am-8:00am PDT",MSNBCW,0,2806,0.0
2024-10-01,MSNBCW_20241001_220000_The_Beat_With_Ari_Melber,"The Beat With Ari Melber : MSNBCW : October 1, 2024 3:00pm-4:00pm PDT",MSNBCW,0,2868,0.0
2024-10-01,MSNBCW_20241001_060000_The_11th_Hour_With_Stephanie_Ruhle,"The 11th Hour With Stephanie Ruhle : MSNBCW : September 30, 2024 11:00pm-12:00am PDT",MSNBCW,0,2819,0.0
2024-10-01,MSNBCW_20241001_070000_Inside_With_Jen_Psaki,"Inside With Jen Psaki : MSNBCW : October 1, 2024 12:00am-1:00am PDT",MSNBCW,0,1918,0.0
2024-10-01,MSNBCW_20241001_040000_The_Rachel_Maddow_Show,"The Rachel Maddow Show : MSNBCW : September 30, 2024 9:00pm-10:01pm PDT",MSNBCW,0,3872,0.0
2024-10-01,MSNBCW_20241001_030000_The_11th_Hour_With_Stephanie_Ruhle,"The 11th Hour With Stephanie Ruhle : MSNBCW : September 30, 2024 8:00pm-9:00pm PDT",MSNBCW,0,2509,0.0
2024-10-01,MSNBCW_20241001_230000_Debate_Countdown_Vance_vs._Walz,"Debate Countdown: Vance vs. Walz : MSNBCW : October 1, 2024 4:00pm-6:00pm PDT",MSNBCW,0,5499,0.0
2024-10-02,MSNBCW_20241002_010000_Vice_Presidential_Debate_Vance_vs._Walz_Hosted_by_CBS_News,"Vice Presidential Debate: Vance vs. Walz Hosted by CBS News : MSNBCW : October 1, 2024 6:00pm-8:00pm PDT",MSNBCW,0,7357,0.0
2024-10-02,MSNBCW_20241002_190000_Katy_Tur_Reports,"Katy Tur Reports : MSNBCW : October 2, 2024 12:00pm-1:00pm PDT",MSNBCW,0,2778,0.0
2024-10-02,MSNBCW_20241002_140000_Ana_Cabrera_Reports,"Ana Cabrera Reports : MSNBCW : October 2, 2024 7:00am-8:00am PDT",MSNBCW,0,3260,0.0
2024-10-02,MSNBCW_20241002_090000_Way_Too_Early_With_Jonathan_Lemire,"Way Too Early With Jonathan Lemire : MSNBCW : October 2, 2024 2:00am-3:00am PDT",MSNBCW,0,3533,0.0
2024-10-02,MSNBCW_20241002_150000_Jose_Diaz-Balart_Reports,"José Díaz-Balart Reports : MSNBCW : October 2, 2024 8:00am-9:00am PDT",MSNBCW,0,2989,0.0
2024-10-02,MSNBCW_20241002_200000_Deadline_White_House,"Deadline: White House : MSNBCW : October 2, 2024 1:00pm-3:00pm PDT",MSNBCW,0,7564,0.0
2024-10-02,MSNBCW_20241002_160000_Andrea_Mitchell_Reports,"Andrea Mitchell Reports : MSNBCW : October 2, 2024 9:00am-10:00am PDT",MSNBCW,0,4106,0.0
2024-10-02,MSNBCW_20241002_060000_Vice_Presidential_Debate_Analysis_Vance_vs._Walz,"Vice Presidential Debate Analysis: Vance vs. Walz : MSNBCW : October 1, 2024 11:00pm-12:01am PDT",MSNBCW,0,3265,0.0
2024-10-02,MSNBCW_20241002_030000_Vice_Presidential_Debate_Analysis_Vance_vs._Walz,"Vice Presidential Debate Analysis: Vance vs. Walz : MSNBCW : October 1, 2024 8:00pm-9:00pm PDT",MSNBCW,0,2820,0.0
2024-10-02,MSNBCW_20241002_100000_Morning_Joe,"Morning Joe : MSNBCW : October 2, 2024 3:00am-7:00am PDT",MSNBCW,0,12718,0.0
2024-10-02,MSNBCW_20241002_230000_The_ReidOut,"The ReidOut : MSNBCW : October 2, 2024 4:00pm-5:01pm PDT",MSNBCW,0,3219,0.0
