date,hits,words,shows,shows_with_hits,density_per_1000
2024-10-01,0,93572,24,0,0.000000
2024-10-02,0,91295,22,0,0.000000
2024-10-03,3,83996,24,1,0.035716
2024-10-04,7,87919,24,6,0.079619
2024-10-05,1,82603,24,1,0.012106
2024-10-06,0,83890,22,0,0.000000
2024-10-07,0,99130,24,0,0.000000
2024-10-08,2,75175,24,2,0.026605
2024-10-09,0,76220,24,0,0.000000
2024-10-10,0,65923,15,0,0.000000
2024-10-11,0,0,0,0,0.000000
2024-10-12,0,49418,19,0,0.000000
2024-10-13,0,80602,24,0,0.000000
2024-10-14,2,79535,24,1,0.025146
2024-10-15,0,82449,24,0,0.000000
2024-10-16,0,71948,24,0,0.000000
2024-10-17,0,90336,24,0,0.000000
2024-10-18,1,91215,48,1,0.010963
2024-10-19,2,95842,48,2,0.020868
2024-10-20,0,87694,48,0,0.000000
2024-10-21,0,82615,24,0,0.000000
2024-10-22,4,76745,24,3,0.052121
2024-10-23,1,70757,24,1,0.014133
2024-10-24,3,77293,22,1,0.038813
2024-10-25,2,72405,24,2,0.027622
2024-10-26,1,95523,24,1,0.010469
2024-10-27,0,87419,24,0,0.000000
2024-10-28,0,80711,23,0,0.000000
2024-10-29,1,77400,24,1,0.012920
2024-10-30,0,74265,24,0,0.000000
2024-10-31,0,85211,24,0,0.000000
2024-11-01,0,71280,24,0,0.000000
2024-11-02,5,69742,24,2,0.071693
2024-11-03,0,66507,24,0,0.000000
2024-11-04,1,60792,19,1,0.016450
2024-11-05,0,84796,13,0,0.000000
2024-11-06,0,82133,7,0,0.000000
2024-11-07,0,63273,17,0,0.000000
2024-11-08,0,70377,24,0,0.000000
2024-11-09,1,73602,24,1,0.013587
2024-11-10,0,62359,24,0,0.000000
2024-11-11,0,67361,24,0,0.000000
2024-11-12,0,71294,24,0,0.000000
2024-11-13,0,74577,24,0,0.000000
2024-11-14,0,61755,24,0,0.000000
2024-11-15,0,65281,24,0,0.000000
2024-11-16,0,96715,24,0,0.000000
2024-11-17,0,91252,24,0,0.000000
2024-11-18,0,89515,24,0,0.000000
2024-11-19,0,98895,24,0,0.000000
2024-11-20,0,95944,24,0,0.000000
2024-11-21,1,95600,24,1,0.010460
2024-11-22,0,90306,24,0,0.000000
2024-11-23,2,88504,24,2,0.022598
2024-11-24,0,90464,24,0,0.000000
2024-11-25,0,110866,24,0,0.000000
2024-11-26,0,109145,24,0,0.000000
2024-11-27,2,97289,24,1,0.020557
2024-11-28,0,106291,21,0,0.000000
2024-11-29,0,115294,24,0,0.000000
2024-11-30,0,113163,24,0,0.000000
2024-12-01,0,109093,22,0,0.000000
2024-12-02,0,101628,23,0,0.000000
2024-12-03,0,93548,24,0,0.000000
2024-12-04,3,93176,24,2,0.032197
2024-12-05,5,88703,24,4,0.056368
2024-12-06,10,94477,24,4,0.105846
2024-12-07,8,99520,24,6,0.080386
2024-12-08,0,104836,22,0,0.000000
2024-12-09,11,93487,23,6,0.117663
2024-12-10,0,93576,24,0,0.000000
2024-12-11,0,89996,24,0,0.000000
2024-12-12,1,89888,24,1,0.011125
2024-12-13,5,93502,24,2,0.053475
2024-12-14,1,95037,24,1,0.010522
2024-12-15,0,82950,23,0,0.000000
2024-12-16,0,88520,24,0,0.000000
2024-12-17,0,85795,24,0,0.000000
2024-12-18,0,84682,24,0,0.000000
2024-12-19,0,100085,24,0,0.000000
2024-12-20,0,94443,24,0,0.000000
2024-12-21,1,99841,24,1,0.010016
2024-12-22,1,97925,24,1,0.010212
2024-12-23,2,117113,24,2,0.017078
2024-12-24,1,105966,24,1,0.009437
2024-12-25,2,106141,20,1,0.018843
2024-12-26,4,113278,24,4,0.035311
2024-12-27,3,107943,24,1,0.027792
2024-12-28,2,112072,24,2,0.017846
2024-12-29,3,117248,23,1,0.025587
2024-12-30,0,103230,24,0,0.000000
2024-12-31,4,91076,19,1,0.043919
2025-01-01,6,104903,18,3,0.057196
2025-01-02,2,88959,22,2,0.022482
2025-01-03,0,98887,23,0,0.000000
2025-01-04,1,104233,24,1,0.009594
2025-01-05,4,107948,22,4,0.037055
